time_date_stamp, excel_time_date_stamp, unix_time_stamp, test_time,Current_temp_D0,Current_temp_D1,Current_temp_D2,Current_temp_D3,Current_temp_D4,Current_temp_D5,Current_temp_D6,Current_temp_D7_Ableiter-/Heater,Target_temp_D0,Target_temp_D1,Target_temp_D2,Target_temp_D3,Target_temp_D4,Target_temp_D5,Target_temp_D6,Target_temp_D7_Ableiter-/Heater,kp_D0,kp_D1,kp_D2,kp_D3,kp_D4,kp_D5,kp_D6,kp_D7_Ableiter-/Heater,ki_D0,ki_D1,ki_D2,ki_D3,ki_D4,ki_D5,ki_D6,ki_D7_Ableiter-/Heater,kd_D0,kd_D1,kd_D2,kd_D3,kd_D4,kd_D5,kd_D6,kd_D7_Ableiter-/Heater,Output_D0,Output_D1,Output_D2,Output_D3,Output_D4,Output_D5,Output_D6,Output_D7_Ableiter-/Heater,BaSyTec Line.Loop_D0,BaSyTec Line.Loop_D1,BaSyTec Line.Loop_D2,BaSyTec Line.Loop_D3,BaSyTec Line.Loop_D4,BaSyTec Line.Loop_D5,BaSyTec Line.Loop_D6,BaSyTec Line.Loop_D7_Ableiter-/Heater
20250128 _164608,45685.6987107176,1738082768.60654,00:00:00,25.01,25,25,25,25,25,25.01,25.19,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.08,12.59,10.51,11.36,11.68,10.39,10.55,-0.04,.,.,.,.,.,.,.,.
20250128 _164609,45685.6987222917,1738082769.6068,00:00:00,25.01,25.01,24.99,25,25.01,25,25.01,24.85,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.02,12.34,10.74,11.34,11.44,10.42,10.4,0.42,.,.,.,.,.,.,.,.
20250128 _164610,45685.6987340394,1738082770.62138,00:00:00,25,25,24.99,25,25.01,25,25,25.08,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.1,12.4,10.8,11.31,11.4,8.37,12.51,21,.,.,.,.,.,.,.,.
20250128 _164611,45685.698745706,1738082771.62905,00:00:00,24.99,25,25,24.99,25,25.01,24.99,24.99,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.33,12.63,10.71,13.33,13.5,10.08,10.82,-24.59,.,.,.,.,.,.,.,.
20250128 _164612,45685.6987573032,1738082772.63131,00:00:00,24.99,25,25.01,24.99,24.99,25,24.99,25.31,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.39,12.66,10.45,11.69,11.73,10.15,10.86,-60.12,.,.,.,.,.,.,.,.
20250128 _164613,45685.6987689815,1738082773.64089,00:00:00,25,25,25,25,25,25,25,24.67,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.2,12.68,12.29,11.62,11.65,10.35,10.67,52.41,.,.,.,.,.,.,.,.
20250128 _164614,45685.6987807407,1738082774.65605,00:00:00,25.01,25.01,24.99,25,25.01,24.99,25.01,25.34,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.08,10.4,10.74,11.4,11.42,10.5,10.54,-53.27,.,.,.,.,.,.,.,.
20250128 _164615,45685.6987924074,1738082775.66441,00:00:00,25.01,25.01,24.99,25.01,25.01,25,25.01,24.65,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.04,12.27,10.78,9.54,11.39,10.32,10.49,46.31,.,.,.,.,.,.,.,.
20250128 _164616,45685.6988040046,1738082776.66619,00:00:00,25.01,25,25,25,25,25.01,25,25.28,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.01,12.47,10.69,11.43,13.47,10.09,10.58,-35.01,.,.,.,.,.,.,.,.
20250128 _164617,45685.6988157755,1738082777.68388,00:00:00,25.01,25,25.01,25,24.99,25,24.99,24.76,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,10.97,12.61,10.43,11.55,11.72,10.16,10.82,-0.33,.,.,.,.,.,.,.,.
20250128 _164618,45685.6988273727,1738082778.68587,00:00:00,25,25,25.01,25,25,25,24.99,25.13,25,25,25,25,25,25,25,25,26.4,27.6,27,25.2,27,25.2,26.4,90.6,7.92,8.004,8.37,7.56,7.83,7.056,7.788,172.14,22,23.79,21.77,21,23.28,22.5,22.37,11.92,11.06,12.75,10.4,11.45,11.64,10.36,10.86,-49.41,.,.,.,.,.,.,.,.
